No.,Title,Author,Year,Language,Birth Date,Ages
1,The StrangerThe Outsider,Albert Camus,1942,French,7-Nov-13,29
2,In Search of Lost TimeRemembrance of Things Past,Marcel Proust,1920,French,10 July 1871,49
3,The Trial,Franz Kafka,1925,German,3 July 1883,42
4,The Little Prince,Antoine de Saint-Exupry,1943,French,29-Jun-00,43
5,Man's Fate,Andr Malraux,1933,French,3-Nov-01,32
6,Journey to the End of the Night,Louis-Ferdinand Cline,1932,French,27 May 1894,38
7,The Grapes of Wrath,John Steinbeck,1939,English,27-Feb-02,37
8,For Whom the Bell Tolls,Ernest Hemingway,1940,English,21 July 1899,41
9,Le Grand Meaulnes,Alain-Fournier,1913,French,3 October 1886,27
10,Froth on the Daydream,Boris Vian,1947,French,10-Mar-20,27
11,The Second Sex,Simone de Beauvoir,1949,French,9-Jan-08,41
12,Waiting for Godot,Samuel Beckett,1952,French,13-Apr-06,46
13,Being and Nothingness,Jean-Paul Sartre,1943,French,21-Jun-05,38
14,The Name of the Rose,Umberto Eco,1980,Italian,5-Jan-32,48
15,The Gulag Archipelago,Aleksandr Solzhenitsyn,1973,Russian,11-Dec-18,55
16,Paroles,Jacques Prvert,1946,French,4-Feb-00,46
17,Alcools,Guillaume Apollinaire,1913,French,26 August 1880,33
18,The Blue Lotus,Herg,1936,French,22-May-07,29
19,The Diary of a Young Girl,Anne Frank,1947,Dutch,12-Jun-29,18
20,Tristes Tropiques,Claude Lvi-Strauss,1955,French,28-Nov-08,47
21,Brave New World,Aldous Huxley,1932,English,26 July 1894,38
22,Nineteen Eighty-Four,George Orwell,1949,English,25-Jun-03,46
23,Asterix the Gaul,Ren Goscinny and Albert Uderzo,1959,French,14-Aug-26,33
24,The Bald Soprano,Eugne Ionesco,1952,French,26-Nov-09,43
25,Three Essays on the Theory of Sexuality,Sigmund Freud,1905,German,6 May 1856,49
26,The AbyssZeno of Bruges,Marguerite Yourcenar,1968,French,8-Jun-03,65
27,Lolita,Vladimir Nabokov,1955,English,22 April 1899,56
28,Ulysses,James Joyce,1922,English,2 February 1882,40
29,The Tartar Steppe,Dino Buzzati,1940,Italian,14-Oct-06,34
30,The Counterfeiters,Andr Gide,1925,French,22 November 1869,56
31,The Horseman on the Roof,Jean Giono,1951,French,30 March 1895,56
32,Belle du Seigneur,Albert Cohen,1968,French,16 August 1895,73
33,One Hundred Years of Solitude,Gabriel Garca Mrquez,1967,Spanish,6-Mar-27,40
34,The Sound and the Fury,William Faulkner,1929,English,25 September 1897,32
35,Thrse Desqueyroux,Franois Mauriac,1927,French,11 October 1885,42
36,Zazie in the Metro,Raymond Queneau,1959,French,21-Feb-03,56
37,Confusion of Feelings,Stefan Zweig,1927,German,28 November 1881,46
38,Gone with the Wind,Margaret Mitchell,1936,English,8-Nov-00,36
39,Lady Chatterley's Lover,D. H. Lawrence,1928,English,11 September 1885,43
40,The Magic Mountain,Thomas Mann,1924,German,6 June 1875,49
