Date,State,TotalSamples,Negative,Positive
2020-04-17,Andaman and Nicobar Islands,1403,1210,12
2020-04-24,Andaman and Nicobar Islands,2679,,27
2020-04-27,Andaman and Nicobar Islands,2848,,33
2020-05-01,Andaman and Nicobar Islands,3754,,33
2020-05-16,Andaman and Nicobar Islands,6677,,33
2020-05-22,Andaman and Nicobar Islands,7263,7167,33
2020-04-02,Andhra Pradesh,1800,1175,132
2020-04-10,Andhra Pradesh,6374,6009,365
2020-04-11,Andhra Pradesh,6958,6577,381
2020-04-12,Andhra Pradesh,6958,6553,405
2020-04-13,Andhra Pradesh,8755,8323,432
2020-04-14,Andhra Pradesh,10505,10032,473
2020-04-15,Andhra Pradesh,11613,11088,525
2020-04-16,Andhra Pradesh,20235,19701,534
2020-04-17,Andhra Pradesh,20235,,572
2020-04-18,Andhra Pradesh,21450,20487,603
2020-04-19,Andhra Pradesh,26958,26311,647
2020-04-20,Andhra Pradesh,30733,30011,722
2020-04-21,Andhra Pradesh,35755,34998,757
2020-04-22,Andhra Pradesh,41512,40699,813
2020-04-23,Andhra Pradesh,48032,47139,893
2020-04-24,Andhra Pradesh,54338,53383,955
2020-04-25,Andhra Pradesh,61266,60250,1016
2020-04-26,Andhra Pradesh,68034,66937,1097
2020-04-27,Andhra Pradesh,74551,73374,1177
2020-04-28,Andhra Pradesh,80334,79075,1259
2020-04-29,Andhra Pradesh,88061,86729,1332
2020-04-30,Andhra Pradesh,94558,93155,1403
2020-05-01,Andhra Pradesh,102460,100997,1463
2020-05-02,Andhra Pradesh,108403,106878,1525
2020-05-03,Andhra Pradesh,114937,113354,1583
2020-05-04,Andhra Pradesh,125229,123579,1650
2020-05-05,Andhra Pradesh,133492,131775,1717
2020-05-06,Andhra Pradesh,141274,139497,1777
2020-05-07,Andhra Pradesh,149361,147528,1833
2020-05-08,Andhra Pradesh,156681,154794,1887
2020-05-09,Andhra Pradesh,165069,163139,1930
2020-05-10,Andhra Pradesh,173735,171755,1980
2020-05-11,Andhra Pradesh,181144,179126,2018
2020-05-12,Andhra Pradesh,191874,189823,2051
2020-05-13,Andhra Pradesh,201196,199059,2137
2020-05-14,Andhra Pradesh,210452,208247,2100
2020-05-15,Andhra Pradesh,219490,217183,2157
2020-05-17,Andhra Pradesh,238998,236618,2230
2020-05-18,Andhra Pradesh,248771,246279,2282
2020-05-19,Andhra Pradesh,258450,255961,2339
2020-05-20,Andhra Pradesh,267612,265052,2407
2020-05-21,Andhra Pradesh,275704,273099,2452
2020-05-22,Andhra Pradesh,284119,281452,2514
2020-05-23,Andhra Pradesh,292969,290255,2561
2020-05-24,Andhra Pradesh,304326,301529,2627
2020-05-25,Andhra Pradesh,314566,311680,2671
2020-05-26,Andhra Pradesh,322714,319731,2719
2020-05-27,Andhra Pradesh,332378,329261,2787
2020-05-28,Andhra Pradesh,342236,338991,2841
2020-05-29,Andhra Pradesh,353874,350544,2874
2020-05-30,Andhra Pradesh,363378,359917,2944
2020-05-31,Andhra Pradesh,372748,369177,3045
2020-06-01,Andhra Pradesh,383315,379639,3118
2020-06-02,Andhra Pradesh,395681,391890,3200
2020-06-03,Andhra Pradesh,403747,399776,3279
2020-06-04,Andhra Pradesh,413733,409621,3377
2020-06-05,Andhra Pradesh,423564,419314,3427
2020-06-06,Andhra Pradesh,436335,431875,3588
2020-04-09,Arunachal Pradesh,206,185,1
2020-04-14,Arunachal Pradesh,280,250,1
