rental_id,rent,bedrooms,bathrooms,size_sqft,min_to_subway,floor,building_age_yrs,no_fee,has_roofdeck,has_washer_dryer,has_doorman,has_elevator,has_dishwasher,has_patio,has_gym,neighborhood,borough
2869,3600,3,2,900,4,1,15,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
4318,3900,3,2,1000,4,9,8,0,0,0,0,1,0,0,0,Greenwood,Brooklyn
6265,2700,2,1,900,4,2,96,0,0,0,0,0,0,0,0,Gowanus,Brooklyn
24,4900,1,1,1216,6,3,88,0,0,0,0,0,0,0,0,Brooklyn Heights,Brooklyn
9481,3900,0,1,1100,3,4,85,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
849,2750,1,1,700,12,3,9,1,0,0,0,0,0,0,0,Clinton Hill,Brooklyn
6029,2700,2,1,750,7,14,96,0,0,0,0,0,0,0,0,Williamsburg,Brooklyn
3686,4905,2,2,1114,6,5,2,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
7616,2000,1,1,700,4,2,85,0,0,0,0,0,0,0,0,Williamsburg,Brooklyn
863,3200,1,1,800,5,3,27,0,0,0,0,0,0,0,0,Boerum Hill,Brooklyn
8742,2950,2,1,1000,4,3,85,0,0,0,0,0,0,0,0,Park Slope,Brooklyn
9103,1950,2,1,950,5,2,75,0,0,0,0,0,0,0,0,Sheepshead Bay,Brooklyn
10632,1799,1,1,650,7,3,8,0,0,0,0,0,0,0,0,Greenwood,Brooklyn
3887,5317,2,2,981,3,5,85,1,0,0,0,0,0,0,0,Carroll Gardens,Brooklyn
4544,2300,2,1,750,14,1,85,0,0,0,0,0,0,0,0,Red Hook,Brooklyn
1026,2400,0,1,450,1,30,9,0,0,0,0,0,0,0,0,Fort Greene,Brooklyn
2201,3045,1,1,589,1,3,17,1,0,0,0,0,0,0,0,Brooklyn Heights,Brooklyn
5050,3790,1,1,681,2,7,90,1,1,1,1,1,0,0,1,Downtown Brooklyn,Brooklyn
10876,2500,0,1,525,7,4,66,1,0,0,0,0,0,0,0,Crown Heights,Brooklyn
5912,2600,3,1,1200,5,3,91,1,0,0,0,0,0,0,0,Crown Heights,Brooklyn
6233,3226,1,1,976,3,5,0,1,0,0,0,0,0,0,0,Prospect Park South,Brooklyn
726,4995,2,2,1251,5,4,8,0,1,1,0,0,1,0,0,Williamsburg,Brooklyn
5075,6950,3,2,1172,3,4,85,1,0,0,0,0,0,0,0,Carroll Gardens,Brooklyn
3104,3500,3,1,950,5,2,115,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
