Museum.Name,Legal.Name,Museum.Type,State..Administrative.Location.,Region.Code..AAM.,Is.Museum,Tax.Year,Annual.Revenue
ALASKA AVIATION HERITAGE MUSEUM,ALASKA AVIATION HERITAGE MUSEUM,HISTORY MUSEUM,AK,6,TRUE,2013,1100472
ALASKA BOTANICAL GARDEN,ALASKA BOTANICAL GARDEN INC,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",AK,6,FALSE,2013,1323742
ALASKA CHALLENGER CENTER FOR SPACE SCIENCE TECHNOLOGY,ALASKA CHALLENGER CENTER FOR SPACE SCIENCE TECHNOLOGY INC,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,AK,6,TRUE,2013,729080
ALASKA HERITAGE MUSEUM,ALASKA AVIATION HERITAGE MUSEUM,HISTORY MUSEUM,AK,6,TRUE,2013,1100472
ALASKA JEWISH MUSEUM,ALASKA JEWISH HISTORICAL MUSEUM AND CULTURAL CENTER,GENERAL MUSEUM,AK,6,TRUE,2013,68748
ALASKA LIGHTHOUSE ASSOCIATION,ALASKA LIGHTHOUSE ASSOCIATION,HISTORIC PRESERVATION,AK,6,FALSE,2013,16500
ALASKA SPORTS HALL OF FAME,ALASKA SPORTS HALL OF FAME INC,GENERAL MUSEUM,AK,6,TRUE,2013,615273
ALASKA STATE MUSEUM,FRIENDS OF THE ALASKA STATE MUSEUM,GENERAL MUSEUM,AK,6,TRUE,2013,129192
ALASKA TROOPER MUSEUM,FRATERNAL ORDER OF ALASKA STATE TROOPERS CHARITY CORPORATIO,GENERAL MUSEUM,AK,6,TRUE,2013,221807
ALASKA WILDLIFE CONSERVATION CENTER,ALASKA WILDLIFE CONSERVATION CENTER INC,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",AK,6,FALSE,2013,2793744
ALASKA ZOO,ALASKA ZOO,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",AK,6,FALSE,2013,2393748
ALUTIIQ HERITAGE ENDOWMENT,THE ALUTIIQ HERITAGE ENDOWMENT,HISTORIC PRESERVATION,AK,6,FALSE,2013,15734
ALUTIIQ HERITAGE FOUNDATION,ALUTIIQ HERITAGE FOUNDATION,GENERAL MUSEUM,AK,6,TRUE,2013,1055839
ANCHORAGE MUSEUM,ANCHORAGE MUSEUM FOUNDATION,GENERAL MUSEUM,AK,6,TRUE,2013,4116780
BARANOV MUSEUM,KODIAK HISTORICAL SOCIETY,HISTORIC PRESERVATION,AK,6,FALSE,2013,576316
BUNNELL STREET GALLERY,BUNNELL STREET ARTS CENTER,ART MUSEUM,AK,6,TRUE,2013,335104
CAPE ST ELIAS LIGHTKEEPERS ASSOCIATION,CAPE ST ELIAS LIGHTKEEPERS ASSOCIATION,HISTORIC PRESERVATION,AK,6,FALSE,2013,59819
CARR-GOTTSTEIN GALLERY,ALASKA PACIFIC UNIVERSITY,ART MUSEUM,AK,6,TRUE,2013,63692296
CENTER FOR ALASKAN COASTAL STUDIES,CENTER FOR ALASKAN COASTAL STUDIES,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",AK,6,FALSE,2013,908922
CHILKAT INDIAN VILLAGE,FOUNDATION FOR THE CHILKAT CENTER FOR THE ARTS,HISTORIC PRESERVATION,AK,6,FALSE,2013,0
CLAUDIA KELSEY DOLL MUSEUM,CLAUDIA KELSEY DOLL MUSEUM TR DBA AUNT CLAUDIAS DOLLS A MUS,GENERAL MUSEUM,AK,6,TRUE,2013,0
CORDOVA HISTORICAL SOCIETY,CORDOVA HISTORICAL SOCIETY,HISTORIC PRESERVATION,AK,6,FALSE,2013,34193
DENALI NATIONAL PARK AND PRESERVE,DENALI EDUCATION CENTER,HISTORIC PRESERVATION,AK,6,FALSE,2013,1416741
EAGLE HISTORICAL SOCIETY,EAGLE HISTORICAL SOCIETY OF ALASKA,HISTORIC PRESERVATION,AK,6,FALSE,2013,29314
EAGLE HISTORICAL SOCIETY OF ALASKA,EAGLE HISTORICAL SOCIETY OF ALASKA,HISTORIC PRESERVATION,AK,6,FALSE,2013,29314
EAGLE RIVER NATURE CENTER,FRIENDS OF EAGLE RIVER NATURE CENTER INC,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",AK,6,FALSE,2013,268677
FAIRBANKS CHILDREN'S MUSEUM,FAIRBANKS CHILDRENS MUSEUM,CHILDREN'S MUSEUM,AK,6,TRUE,2013,156377
FAIRBANKS HOCKEY HALL OF FAME,FAIRBANKS HOCKEY HALL OF FAME INC,GENERAL MUSEUM,AK,6,TRUE,2013,31075
GASTINEAU CHANNEL HISTORICAL SOCIETY,GASTINEAU CHANNEL HISTORICAL SOCIETY,HISTORIC PRESERVATION,AK,6,FALSE,2013,0
GOLDBELT HERITAGE FOUNDATION,GOLDBELT HERITAGE FOUNDATION,HISTORIC PRESERVATION,AK,6,FALSE,2013,1549084
HOMER SOCIETY OF NATURAL HISTORY,HOMER SOCIETY OF NATURAL HISTORY INC,NATURAL HISTORY MUSEUM,AK,6,TRUE,2013,742408
INTERNATIONAL GALLERY OF CONTEMPORARY ARTS,INTERNATIONAL GALLERY OF CONTEMPORARY ARTS INC,ART MUSEUM,AK,6,TRUE,2013,39227
JESSE LEE HOME,FRIENDS OF THE JESSE LEE HOME,HISTORIC PRESERVATION,AK,6,FALSE,2013,1037819
JILKAAT KWAAN HERITAGE CENTER,JILKATT KWANN CULTURAL HERITAGE CENTER - BALD EAGLE OBSERVA,GENERAL MUSEUM,AK,6,TRUE,2013,78314
JUNEAU DOUGLAS CITY MUSEUM,FRIENDS OF THE JUNEAU-DOUGLAS CITY MUSEUM,GENERAL MUSEUM,AK,6,TRUE,2013,0
KACHEMAK HERITAGE LAND TRUST,KACHEMAK HERITAGE LAND TRUST INC,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",AK,6,FALSE,2013,287801
KAKE TRIBAL HERITAGE FOUNDATION,KAKE TRIBAL HERITAGE FOUNDATION,HISTORIC PRESERVATION,AK,6,FALSE,2013,0
KASILOF REGIONAL HISTORICAL ASSOCIATION,KASILOF REGIONAL HISTORICAL ASSOCIATION,HISTORIC PRESERVATION,AK,6,FALSE,2013,37598
KNIK MUSEUM,WASILLA-KINK HISTORICAL SOCIETY,HISTORY MUSEUM,AK,6,TRUE,2013,73802
KODIAK HISTORICAL SOCIETY,KODIAK HISTORICAL SOCIETY,HISTORIC PRESERVATION,AK,6,FALSE,2013,576316
KODIAK MARITIME MUSEUM AND ART CENTER,KODIAK MARITIME MUSEUM AND ART CENTER,ART MUSEUM,AK,6,TRUE,2013,85352
MUSEUM OF ALASKA TRANSPORTATION AND INDUSTRY,MUSEUM OF ALASKA TRANSPORATION AND INDUSTRY INC,HISTORY MUSEUM,AK,6,TRUE,2013,67641
MUSEUM OF THE ALEUTIANS,MUSEUM OF THE ALEUTIANS,GENERAL MUSEUM,AK,6,TRUE,2013,609946
MUSEUMS ALASKA,MUSEUMS ALASKA INCORPORATED,GENERAL MUSEUM,AK,6,TRUE,2013,433429
NEW YORK ALASKA HOUSE,NEW YORK ALASKA HOUSE INC,ART MUSEUM,AK,6,TRUE,2013,50
OSCAR ANDERSON HOUSE,ALASKA ASSOCIATION FOR HISTORIC PRESERVATION INC,HISTORIC PRESERVATION,AK,6,FALSE,2013,133637
PALMER HISTORICAL SOCIETY,PALMER HISTORICAL SOCIETY INC,HISTORIC PRESERVATION,AK,6,FALSE,2013,0
PALMER MUSEUM OF HISTORY AND ART,PALMER MUSEUM OF HISTORY AND ART,GENERAL MUSEUM,AK,6,TRUE,2013,144442
PIONEER MEMORIAL PARK,PIONEER MEMORIAL PARK INC,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",AK,6,FALSE,2013,0
PRATT MUSEUM,PATRONS OF THE PRATT SOCIETY,ART MUSEUM,AK,6,TRUE,2013,65544
RIO GRANDE MODELING & HISTORICAL SOCIETY,RIO GRANDE MODELING & HISTORICAL SOCIETY,HISTORIC PRESERVATION,AK,5,FALSE,2013,28358
RUSSIAN ORTHODOX MUSEUM,RUSSIAN ORTHODOX SACRED SITES IN ALASKA INC,HISTORIC PRESERVATION,AK,6,FALSE,2013,698562
RUSSIAN ORTHODOX SACRED SITES IN ALASKA,RUSSIAN ORTHODOX SACRED SITES IN ALASKA INC,HISTORIC PRESERVATION,AK,6,FALSE,2013,698562
SEALASKA HERITAGE INSTITUTE,SEALASKA HERITAGE INSTITUTE,GENERAL MUSEUM,AK,6,TRUE,2013,7812834
SEWARD ASSOCIATION FOR THE ADVANCEMENT OF MARINE SCIENCE,SEWARD ASSOCIATION FOR THE ADVANCEMENT OF MARINE SCIENCE,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",AK,6,FALSE,2013,9469200
SHELDON JACKSON MUSEUM,FRIENDS OF SHELDON JACKSON MUSEUM,NATURAL HISTORY MUSEUM,AK,6,TRUE,2013,49871
SIMON PANEAK MEMORIAL MUSEUM,SIMON PANEAK MEMORIAL MUSEUM INC,GENERAL MUSEUM,AK,6,TRUE,2013,0
SITKA MARITIME HERITAGE SOCIETY,SITKA MARITIME HERITAGE SOCIETY INC,HISTORY MUSEUM,AK,6,TRUE,2013,34039
SITKA SOUND SCIENCE CENTER,SITKA SOUND SCIENCE CENTER,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",AK,6,FALSE,2013,1923217
STORIS MUSEUM,STORIS MUSEUM,GENERAL MUSEUM,AK,6,TRUE,2013,0
TALKEETNA HISTORICAL SOCIETY,TALKEETNA HISTORICAL SOCIETY,HISTORIC PRESERVATION,AK,6,FALSE,2013,78315
TANANA YUKON HISTORICAL SOCIETY,TANANA YUKON HISTORICAL SOCIETY,HISTORIC PRESERVATION,AK,6,FALSE,2013,18705
TONGASS HISTORICAL SOCIETY,TONGASS HISTORICAL SOCIETY INC,HISTORIC PRESERVATION,AK,6,FALSE,2013,0
TREADWELL HISTORIC PRESERVATION & RESTORATION SOCIETY,TREADWELL HISTORIC PRESERVATION AND RESTORATION SOCIETY INC,HISTORIC PRESERVATION,AK,6,FALSE,2013,0
VALDEZ HISTORICAL PRESERVATION AND RESTORATION COMMITTEE,VALDEZ HISTORICAL PRESERVATION AND RESTORATION COMMITTEE,HISTORIC PRESERVATION,AK,6,FALSE,2013,0
VALDEZ MUSEUM AND HISTORICAL ARCHIVE ASSOCIATION,VALDEZ MUSEUM AND HISTORICAL ARCHIVE ASSOCIATION INCORPORAT,HISTORY MUSEUM,AK,6,TRUE,2013,645570
